POSTE,DATE,RR,DRR,TN,HTN,TX,HTX,TM,TMNX,TNSOL,TN50,DG,TAMPLI,TNTXM,PMERM,PMERMIN,FFM,FXI,DXI,HXI,FXY,DXY,HXY,FF2M,FXI2,DXI2,HXI2,FXI3S,DXI3S,HXI3S,UN,HUN,UX,HUX,DHUMI40,DHUMI80,TSVM,DHUMEC,UM,INST,GLOT,DIFT,DIRT,SIGMA,INFRART,UV_INDICEX,NB300,BA300,NEIG,BROU,ORAG,GRESIL,GRELE,ROSEE,VERGLAS,SOLNEIGE,GELEE,FUMEE,BRUME,ECLAIR,ETPMON,ETPGRILLE,UV,TMERMAX,TMERMIN,HNEIGEF,NEIGETOTX,NEIGETOT06,,,,,,,,,,,,
34154001,20190301,0,0,0,9,0,355,19,0,1331,14,4,14,0,6,5,7,5,0,10,0,14,0,1021,7,1018,7,6,7,17,3,290,1407,11,9,310,1419,,,,,16,7,,1410,34,1240,66,356,438,0,7,5,,46,617,1640,,,94,,,,,0,0,0,,,,,,,0,0,,4,7,4,2
34154001,20190302,0,0,0,9,4,2301,18,0,1532,13,4,13,70,4,9,7,6,0,8,6,13,7,1021,3,1019,8,6,8,17,8,300,1047,12,5,320,1058,,,,,15,9,,1057,41,1543,67,2357,0,0,8,0,,52,440,1408,,,66,,,,,0,0,0,,,,,,,0,0,,4,5,3,8
34154001,20190303,0,0,0,3,7,501,16,1,1134,11,9,9,90,0,1,1,9,0,12,4,9,9,1019,4,1014,5,2,6,6,8,110,2209,5,0,70,2317,,,,,6,7,,2210,50,1005,91,1858,0,562,9,9,,71,614,1572,,,92,,,,,0,0,0,,,,,,,0,0,,1,4,1,6
34154001,20190304,0,0,0,10,4,655,18,3,1227,13,8,14,35,6,7,9,1,0,7,9,14,4,1014,7,1011,1,5,4,15,2,320,1321,11,3,320,1324,,,,,14,7,,1217,27,1216,85,53,493,499,8,6,,57,375,1271,,,56,,,,,0,0,0,,,,,,,0,0,,4,1,3,6
34154001,20190305,0,0,0,9,3,629,16,7,1145,11,2,13,0,7,0,8,7,0,7,4,13,0,1016,7,1015,0,3,8,9,9,200,1410,7,0,190,1417,,,,,9,5,,1410,41,1021,93,2256,0,338,8,5,,65,570,1598,,,85,,,,,0,0,0,,,,,,,0,0,,3,2,3,1
34154001,20190306,0,2,49,6,0,2151,14,0,226,12,5,10,0,2,5,3,8,0,8,0,10,0,1009,5,1003,4,10,6,22,7,130,1822,17,0,140,1823,,,,,22,0,,1822,83,1526,94,11,0,1440,12,6,,87,0,201,,,0,,,,,0,0,0,,,,,,,0,0,,0,1,0,1
34154001,20190307,0,0,0,11,3,442,17,6,1445,13,0,14,45,7,6,10,1,0,6,3,14,5,1012,2,1003,3,5,5,17,5,150,5,13,2,140,11,,,,,16,7,,10,30,1335,89,136,245,213,8,8,,60,507,1524,,,75,,,,,0,0,0,,,,,,,0,0,,4,2,3,8
34154001,20190308,0,0,0,2,1,515,16,2,1457,10,2,9,15,-1,9,0,4,0,14,1,9,2,1021,4,1016,8,2,9,9,3,280,2122,6,6,280,2124,,,,,9,1,,2122,45,1508,91,32,0,460,8,1,,67,404,1360,,,59,,,,,0,0,0,,,,,,,0,0,,2,0,2,0
34154001,20190309,0,0,0,8,2,2349,18,7,1404,14,5,13,45,4,0,6,2,0,10,5,13,5,1027,1,1026,2,6,9,14,5,290,1207,11,3,290,2021,,,,,14,0,,1216,45,952,74,2259,0,0,10,0,,61,551,1672,,,81,,,,,0,0,0,,,,,,,0,0,,3,5,3,1
34154001,20190310,0,0,0,12,4,420,18,4,1204,15,6,15,40,7,5,9,6,0,6,0,15,4,1025,4,1024,3,6,8,17,2,310,1216,12,4,310,1220,,,,,16,4,,1210,45,2211,82,230,0,170,11,0,,62,60,689,,,9,,,,,0,0,0,,,,,,0,0,0,,3,7,3,4
34154001,20190311,0,0,0,9,1,607,16,8,1316,12,0,12,95,6,2,8,2,0,7,7,13,0,1028,9,1026,6,8,2,20,4,320,1050,14,1,320,1418,,,,,18,7,,1319,27,1417,62,2355,718,0,5,6,,41,658,1807,,,95,,,,,0,0,0,,,,,,,0,0,,5,6,4,9
34154001,20190312,0,0,0,0,5,501,13,7,1215,7,9,6,60,-4,1,-2,3,8,14,2,6,6,1025,3,1020,7,2,4,8,8,200,1357,6,2,200,1355,,,,,8,4,,1357,33,943,85,2307,234,82,6,1,,58,618,1714,,,89,,,,,0,0,0,,,,,,,0,0,,2,0,2,0
34154001,20190313,0,0,0,4,4,2309,15,6,1208,11,4,10,0,0,2,2,3,0,11,2,10,0,1021,7,1019,4,6,9,18,0,340,1337,12,0,320,1342,,,,,16,4,,1424,35,1144,82,1,266,72,6,6,,50,480,1550,,,69,,,,,0,0,0,,,,,,,0,0,,3,7,3,3
34154001,20190314,0,0,0,8,5,449,15,5,1541,12,6,12,0,5,5,7,5,0,7,0,12,0,1022,7,1019,9,9,0,21,4,280,1626,14,0,290,1529,,,,,20,7,,1626,38,1004,61,451,31,0,7,5,,52,427,1465,,,61,,,,,0,0,0,,,,,,,0,0,,4,4,4,1
34154001,20190315,0,0,0,12,3,2357,20,8,1251,15,9,16,55,9,4,11,2,0,8,5,16,6,1022,0,1020,1,9,3,23,9,300,640,17,6,310,655,,,,,22,6,,640,41,1249,60,47,0,0,9,3,,52,601,1904,,,86,,,,,0,0,0,,,,,,0,0,0,,6,0,5,6
34154001,20190316,0,0,0,7,7,624,18,2,1149,12,6,12,95,2,6,7,1,0,10,5,13,0,1019,2,1015,6,3,1,8,5,310,31,6,4,300,31,,,,,8,1,,31,42,955,96,2347,0,319,9,6,,67,623,1887,,,88,,,,,0,1,0,,,,,,,0,0,,3,0,2,9
34154001,20190317,0,0,0,6,3,2246,20,1,1333,13,5,13,20,1,6,3,6,0,13,8,13,2,1016,4,1014,1,5,9,17,6,300,1459,12,8,300,1511,,,,,16,6,,1510,35,1833,96,1,285,546,9,2,,62,482,1609,,,68,,,,,0,1,0,,,,,,,0,1,,3,7,3,4
34154001,20190318,0,0,0,8,0,337,16,8,1554,11,5,12,40,5,6,7,3,0,8,8,12,4,1021,6,1019,8,6,1,20,8,290,130,15,0,290,129,,,,,18,8,,127,26,1508,60,337,614,0,5,6,,42,479,1655,,,67,,,,,0,0,0,,,,,,,0,0,,5,1,4,8
34154001,20190319,0,0,0,5,5,548,17,0,1419,11,1,11,25,0,4,2,9,0,11,5,11,3,1023,6,1021,1,5,7,15,5,30,936,10,2,20,941,,,,,14,6,,936,27,1333,65,509,881,0,5,4,,42,534,1803,,,75,,,,,0,0,0,,,,,,,0,0,,4,7,4,3
34154001,20190320,0,0,0,2,3,502,17,8,1352,10,3,10,5,-4,4,-1,4,0,15,5,10,1,1028,1,1026,5,3,8,12,6,20,916,8,7,10,947,,,,,12,2,,916,21,1348,74,1942,521,0,5,6,,46,685,1992,,,96,,,,,0,0,0,,,,,,,0,0,,3,6,3,4
34154001,20190321,0,0,0,2,8,159,16,8,1323,10,0,9,80,-2,8,0,2,0,14,0,9,8,1028,4,1026,9,2,9,8,3,20,911,6,0,30,914,,,,,8,0,,859,31,1052,69,2059,342,0,6,2,,51,689,1990,,,96,,,,,0,0,0,,,,,,,0,0,,3,1,3,0
34154001,20190322,0,0,0,3,5,518,20,7,1509,12,9,12,10,-2,4,1,1,0,17,2,12,1,1027,5,1025,6,2,6,7,0,190,1650,4,9,10,834,,,,,6,8,,1650,26,1458,72,29,557,0,7,1,,50,692,1962,,,96,,,,,0,0,0,,,,,,,0,0,,3,4,3,3
34154001,20190323,0,0,0,3,5,345,26,1,1327,14,7,14,80,-2,0,1,0,0,22,6,14,8,1024,2,1021,6,2,1,10,6,20,1116,7,2,30,1117,,,,,10,1,,1116,18,1319,77,613,442,0,7,7,,50,681,2006,,,94,,,,,0,0,0,,,,,,,0,0,,3,9,3,8
34154001,20190324,0,0,0,5,4,550,22,2,1309,15,3,13,80,0,0,2,7,0,16,8,13,8,1021,9,1019,6,2,8,7,9,30,2333,5,5,360,2047,,,,,7,4,,2336,31,1044,73,631,431,0,8,4,,49,697,1997,,,96,,,,,0,0,0,,,,,,,0,0,,3,6,3,7
34154001,20190325,0,0,0,6,7,600,21,2,1343,14,1,13,95,1,0,3,2,0,14,5,14,0,1019,3,1015,5,5,5,16,9,10,1953,11,3,10,1846,,,,,16,1,,1953,19,1606,71,549,894,0,6,3,,41,700,2023,,,96,,,,,0,0,0,,,,,,,0,0,,5,2,4,7
34154001,20190326,0,0,0,9,0,324,17,7,1314,12,8,13,35,7,1,7,9,0,8,7,13,4,1021,8,1020,0,8,4,20,1,20,1044,13,1,10,1041,,,,,18,3,,1036,19,1258,37,325,1440,0,4,3,,30,704,2148,,,96,,,,,0,0,0,,,,,,,0,0,,6,8,6,4
34154001,20190327,0,0,0,3,7,459,19,4,1352,11,8,11,55,-3,5,0,3,0,15,7,11,6,1025,1,1023,2,3,5,12,2,40,1327,8,4,80,1527,,,,,11,7,,1327,21,1325,64,2018,647,0,5,5,,42,703,2123,,,95,,,,,0,0,0,,,,,,,0,0,,4,2,3,9
34154001,20190328,0,0,0,3,0,530,17,7,1119,11,0,10,35,-2,7,0,3,0,14,7,10,4,1027,4,1025,8,2,7,9,3,30,905,6,3,30,907,,,,,9,0,,842,35,1101,86,2234,214,136,7,3,,57,702,2071,,,95,,,,,0,0,0,,,,,,,0,0,,2,9,3,0
34154001,20190329,0,0,0,3,2,346,16,7,1421,10,1,9,95,-1,2,1,0,0,13,5,10,0,1028,7,1027,4,2,4,5,7,170,1439,4,2,160,1205,,,,,5,6,,1439,40,1340,86,350,2,445,8,4,,69,702,2091,,,94,,,,,0,0,0,,,,,,,0,0,,2,4,2,4
34154001,20190330,0,0,0,3,6,341,16,0,1439,10,0,9,80,-1,3,1,3,0,12,4,9,8,1024,7,1022,4,2,5,7,0,30,517,4,9,40,712,,,,,6,6,,710,50,1407,88,2316,0,451,8,8,,72,666,2123,,,89,,,,,0,0,0,,,,,,,0,0,,2,4,2,4
