POSTE,DATE,RR,DRR,TN,HTN,TX,HTX,TM,TMNX,TNSOL,TN50,DG,TAMPLI,TNTXM,PMERM,PMERMIN,FFM,FXI,DXI,HXI,FXY,DXY,HXY,FF2M,FXI2,DXI2,HXI2,FXI3S,DXI3S,HXI3S,UN,HUN,UX,HUX,DHUMI40,DHUMI80,TSVM,DHUMEC,UM,INST,GLOT,DIFT,DIRT,SIGMA,INFRART,UV_INDICEX,NB300,BA300,NEIG,BROU,ORAG,GRESIL,GRELE,ROSEE,VERGLAS,SOLNEIGE,GELEE,FUMEE,BRUME,ECLAIR,ETPMON,ETPGRILLE,UV,TMERMAX,TMERMIN,HNEIGEF,NEIGETOTX,NEIGETOT06,,,,,,,,,,,,
34154001,20191101,4,2,349,8,3,543,18,1,1033,14,6,13,20,5,1,6,8,0,9,8,13,2,1015,0,1009,7,2,4,7,4,160,2029,5,4,160,2033,,,,,7,2,,2029,61,1146,98,1941,0,870,14,0,,84,131,640,,,22,,,,,0,0,0,,,,,,,0,0,,0,8,0,8
34154001,20191102,8,7,267,12,9,417,19,7,1300,15,9,16,30,10,2,11,1,0,6,8,16,3,1004,4,997,8,2,2,9,9,320,821,6,7,320,824,,,,,9,1,,821,81,1142,100,422,0,1440,17,1,,95,151,765,,,25,,,,,0,1,0,,,,,,0,0,1,,1,1,1,2
34154001,20191103,4,5,84,11,4,752,18,0,1326,14,8,14,70,11,1,11,1,0,6,6,14,7,996,5,989,2,6,5,23,0,300,747,14,6,290,1208,,,,,21,3,,747,48,1439,99,11,0,587,12,4,,75,166,592,,,28,,,,,0,0,0,,,,,,,0,0,,2,4,2,1
34154001,20191104,4,6,353,10,4,221,20,7,1429,15,1,15,55,8,4,8,9,0,10,3,15,6,1002,3,1000,8,2,3,10,9,320,1637,7,2,320,1641,,,,,10,3,,1637,61,1547,92,2353,0,704,13,6,,79,355,922,,,59,,,,,0,0,0,,,,,,,0,0,,1,6,1,6
34154001,20191105,0,0,45,10,7,654,17,0,1242,12,7,13,85,8,6,9,8,0,6,3,13,9,1002,6,1000,8,4,4,13,9,280,1339,9,9,270,1348,,,,,13,3,,1340,53,1330,96,125,0,540,11,0,,76,342,898,,,57,,,,,0,0,0,,,,,,,0,0,,2,3,1,9
34154001,20191106,1,6,62,9,9,259,17,2,1309,13,0,13,55,6,4,9,0,0,7,3,13,6,1007,9,1004,8,5,9,14,8,290,1114,10,0,300,1022,,,,,14,0,,1114,44,1314,88,300,0,159,9,7,,66,541,1093,,,91,,,,,0,0,0,,,,,,,0,0,,2,9,2,4
34154001,20191107,1,4,232,6,6,210,13,7,1240,9,7,10,15,3,7,5,2,0,7,1,10,2,1006,8,1005,4,2,8,9,2,270,0,5,7,270,1910,,,,,8,5,,0,76,1304,97,657,0,1382,10,5,,87,0,298,,,0,,,,,0,0,0,,,,,,,0,0,,0,9,0,8
34154001,20191108,0,0,9,4,9,300,13,6,1426,9,5,9,25,1,0,2,9,0,8,7,9,3,1006,0,1004,7,5,3,13,7,280,849,10,6,270,1012,,,,,13,3,,1010,56,1311,90,309,0,442,8,4,,72,379,933,,,64,,,,,0,0,0,,,,,,,0,0,,1,8,1,5
34154001,20191109,0,6,149,7,8,2214,14,9,1246,10,4,11,35,5,2,6,9,0,7,1,11,4,1011,3,1009,1,4,8,14,0,290,954,10,2,290,1001,,,,,12,9,,1058,41,1314,94,2356,0,127,7,8,,63,499,1058,,,85,,,,,0,0,0,,,,,,,0,0,,2,7,2,2
34154001,20191110,0,0,1,4,8,546,14,6,1307,8,7,9,70,2,2,3,3,0,9,8,9,7,1010,4,1008,6,3,5,11,2,360,1323,7,9,340,1248,,,,,10,7,,1323,44,1328,98,326,0,580,8,1,,74,300,814,,,51,,,,,0,0,0,,,,,,,0,0,,1,8,1,7
