POSTE,DATE,RR,DRR,TN,HTN,TX,HTX,TM,TMNX,TNSOL,TN50,DG,TAMPLI,TNTXM,PMERM,PMERMIN,FFM,FXI,DXI,HXI,FXY,DXY,HXY,FF2M,FXI2,DXI2,HXI2,FXI3S,DXI3S,HXI3S,UN,HUN,UX,HUX,DHUMI40,DHUMI80,TSVM,DHUMEC,UM,INST,GLOT,DIFT,DIRT,SIGMA,INFRART,UV_INDICEX,NB300,BA300,NEIG,BROU,ORAG,GRESIL,GRELE,ROSEE,VERGLAS,SOLNEIGE,GELEE,FUMEE,BRUME,ECLAIR,ETPMON,ETPGRILLE,UV,TMERMAX,TMERMIN,HNEIGEF,NEIGETOTX,NEIGETOT06,,,,,,,,,,,,
34154001,20190401,0,0,0,4,8,314,17,9,1209,11,4,11,35,0,7,2,4,0,13,1,11,4,1015,5,1014,4,1,9,5,2,180,1521,3,7,160,1056,,,,,5,0,,1521,53,1200,92,347,0,757,10,1,,76,554,1970,,,74,,,,,0,0,0,,,,,,,0,0,,2,4,2,4
34154001,20190402,0,0,0,3,6,608,15,7,1247,11,2,9,65,0,7,1,0,0,12,1,9,7,1013,8,1011,0,2,5,7,0,180,1534,5,1,190,1456,,,,,6,7,,1453,58,1108,93,644,0,949,11,0,,82,140,1331,,,19,,,,,0,1,0,,,,,,,0,0,,1,5,1,6
34154001,20190403,2,8,345,8,1,1042,10,9,1649,9,7,9,50,2,8,6,4,0,2,8,9,5,1005,2,1001,7,2,4,8,5,320,1027,6,4,330,1023,,,,,8,4,,1027,67,1703,87,841,0,595,9,4,,78,0,352,,,0,,,,,0,0,0,,,,,,,0,0,,1,2,0,9
34154001,20190404,0,4,,4,3,435,15,4,1423,9,3,9,85,0,0,2,1,0,11,1,9,9,1002,2,1000,4,5,6,14,4,290,1346,9,7,290,936,,,,,13,4,,1346,25,1421,76,416,555,0,5,7,,51,693,2299,,,91,,,,,,0,0,,,,,,,0,0,,4,3,3,8
34154001,20190405,9,3,163,0,3,418,15,1,1100,10,3,7,40,-3,9,-2,4,11,15,4,7,4,1002,5,1001,3,5,3,12,5,140,2314,9,2,140,2331,,,,,12,1,,2314,41,948,87,532,0,346,9,1,,70,328,1470,,,43,,,,,0,0,0,,,,,,,0,0,,1,4,1,5
34154001,20190406,7,6,395,9,8,944,14,7,1422,12,1,12,25,8,9,8,7,0,4,9,12,3,1001,4,998,3,8,1,23,1,110,526,16,7,120,546,,,,,21,7,,526,67,1509,95,648,0,1025,11,7,,83,186,967,,,24,,,,,0,0,1,,,,,,,0,0,,2,0,1,8
34154001,20190407,2,0,153,8,2,324,14,5,1236,10,4,11,35,7,4,7,4,0,6,3,11,4,1007,6,1003,4,3,5,9,1,30,229,6,5,40,222,,,,,9,0,,229,64,1918,93,326,0,685,10,0,,80,171,1088,,,22,,,,,0,0,1,,,,,,,0,0,,2,2,2,1
34154001,20190408,0,0,0,4,0,354,17,0,1340,11,2,10,50,0,5,1,7,0,13,0,10,5,1011,0,1009,7,2,5,7,7,210,1547,5,5,210,1502,,,,,7,4,,1547,48,1113,95,2347,0,629,9,8,,75,646,2328,,,84,,,,,0,0,0,,,,,,,0,0,,2,6,2,6
34154001,20190409,0,0,0,5,1,354,16,9,1506,12,2,11,0,1,7,2,5,0,11,8,11,0,1008,5,1006,9,2,6,8,8,220,1444,6,3,230,1449,,,,,8,5,,1444,50,1517,98,38,0,431,10,2,,73,299,1393,,,39,,,,,0,0,,,,,,,,0,0,,2,1,2,2
34154001,20190410,1,6,25,9,5,2341,20,7,1508,14,8,15,10,5,6,7,2,0,11,2,15,1,1008,0,1006,4,2,9,12,5,320,1316,8,3,330,1320,,,,,12,2,,1316,35,1602,80,115,50,9,9,4,,57,168,1217,,,22,,,,,0,0,1,,,,,,,0,0,,3,8,3,7
34154001,20190411,0,0,0,12,7,12,18,8,1358,15,5,15,75,6,3,10,7,0,6,1,15,8,1010,8,1009,6,5,1,13,8,290,749,9,6,300,753,,,,,12,8,,749,44,1309,58,813,0,0,8,8,,50,87,888,,,11,,,,,0,0,0,,,,,,0,0,0,,4,7,4,1
34154001,20190412,0,0,0,9,9,510,19,9,1641,14,8,14,90,6,0,8,7,0,10,0,14,9,1014,0,1012,0,4,2,12,6,360,844,8,5,360,851,,,,,12,2,,844,26,1223,51,433,789,0,6,8,,41,739,2379,,,94,,,,,0,0,0,,,,,,,0,0,,5,4,5,3
34154001,20190413,0,0,0,3,1,516,18,9,1608,12,4,11,0,-1,2,0,3,0,15,8,11,0,1015,6,1013,3,2,9,9,0,10,924,6,3,360,918,,,,,8,8,,924,25,1025,73,518,336,0,6,9,,48,756,2445,,,96,,,,,0,0,0,,,,,,,0,0,,3,7,3,9
34154001,20190414,0,0,0,4,8,401,17,4,1453,11,2,11,10,1,3,2,8,0,12,6,11,1,1015,8,1013,5,4,4,13,8,20,716,8,7,20,732,,,,,13,4,,716,28,1309,68,402,814,0,5,6,,44,710,2409,,,90,,,,,0,0,0,,,,,,,0,0,,4,6,4,5
34154001,20190415,1,0,100,3,3,511,15,5,1010,11,7,9,40,-1,1,0,2,0,12,2,9,4,1018,6,1017,8,3,8,8,9,40,712,6,5,10,1,,,,,8,5,,712,40,44,89,2359,8,405,9,3,,65,498,1983,,,63,,,,,0,0,0,,,,,,,0,0,,2,3,2,5
34154001,20190416,1,6,157,10,9,412,16,4,1510,12,3,13,65,10,3,10,3,0,5,5,13,7,1020,5,1018,5,1,9,4,9,110,902,3,3,100,911,,,,,4,8,,910,56,1512,96,432,0,906,11,8,,83,165,1059,,,21,,,,,0,0,0,,,,,,,0,0,,2,1,2,1
34154001,20190417,0,0,0,5,8,152,17,6,1113,12,4,11,70,3,0,3,7,0,11,8,11,7,1020,5,1019,3,2,8,6,0,30,749,4,1,50,750,,,,,5,6,,749,58,1114,98,403,0,913,11,9,,83,616,2345,,,77,,,,,0,0,0,,,,,,,0,0,,2,4,2,5
34154001,20190418,0,0,0,8,6,516,19,3,1242,14,0,13,95,7,4,7,7,0,10,7,14,0,1021,4,1020,1,2,5,6,8,140,1420,4,5,40,742,,,,,6,7,,1420,38,1301,98,129,2,591,11,3,,73,624,2074,,,78,,,,,0,0,0,,,,,,,0,0,,3,0,3,1
34154001,20190419,0,0,0,9,5,46,21,5,954,15,5,15,50,6,4,7,8,0,12,0,15,5,1025,7,1022,7,2,8,7,1,120,1937,4,5,120,1938,,,,,6,9,,1937,38,945,82,101,16,25,10,5,,61,630,2287,,,78,,,,,0,0,0,,,,,,,0,0,,4,2,4,1
34154001,20190420,0,2,156,8,4,504,22,9,1251,15,8,15,65,2,8,3,9,0,14,5,15,7,1023,2,1020,8,2,6,9,3,190,1344,6,7,190,1350,,,,,8,9,,1345,33,1130,79,138,186,0,10,0,,57,477,2067,,,59,,,,,0,0,0,,,,,,,0,0,,4,3,4,2
34154001,20190421,0,6,79,13,9,134,19,2,1525,15,2,16,55,11,2,11,7,0,5,3,16,6,1014,9,1009,3,3,6,12,3,180,952,8,5,330,106,,,,,11,8,,952,54,1513,80,1023,0,5,11,5,,67,21,633,,,3,,,,,0,0,0,,,,,,,0,0,,3,4,2,9
34154001,20190422,9,1,372,11,0,258,23,5,1201,16,8,17,25,8,2,9,4,0,12,5,17,3,1003,0,999,8,3,3,8,9,100,2011,7,1,100,2012,,,,,8,8,,2011,34,1114,95,2244,72,243,11,7,,64,186,1247,,,23,,,,,0,0,0,,,,,,,0,0,,4,0,3,9
34154001,20190423,5,0,217,12,9,457,16,1,936,14,3,14,50,12,3,12,2,0,3,2,14,5,999,8,998,6,6,3,16,0,130,2259,12,1,130,0,,,,,15,4,,2259,76,950,97,1230,0,1374,15,0,,92,10,500,,,1,,,,,0,0,0,,,,,,0,0,0,,1,2,1,0
34154001,20190424,0,0,0,14,4,1756,17,4,1314,15,4,15,90,13,5,14,2,0,3,0,15,9,1006,7,1002,0,10,4,19,8,140,2237,15,3,140,2244,,,,,19,2,,2237,66,1319,96,27,0,606,14,1,,80,495,2331,,,60,,,,,0,0,0,,,,,,0,0,1,,3,8,3,8
34154001,20190425,0,8,92,14,3,1817,16,2,1521,14,3,15,25,12,1,13,7,0,1,9,15,3,1011,0,1009,1,11,6,22,7,140,1118,17,2,150,1423,,,,,21,7,,1420,80,2048,95,1920,0,1440,14,5,,89,12,507,,,1,,,,,0,0,0,,,,,,,0,0,,2,1,1,8
34154001,20190426,0,0,0,7,0,434,20,4,1338,14,1,13,70,5,7,6,0,0,13,4,13,7,1019,1,1014,2,6,2,16,5,270,1157,10,0,290,1202,,,,,15,6,,1157,35,1335,94,56,150,362,9,4,,61,437,2073,,,53,,,,,0,0,0,,,,,,,0,0,,4,5,4,1
34154001,20190427,0,0,0,10,1,149,21,0,1303,15,7,15,55,6,5,8,0,0,10,9,15,6,1023,5,1021,7,6,7,20,2,300,1500,13,7,300,1506,,,,,18,4,,1510,42,1249,71,156,0,0,9,6,,54,516,2164,,,62,,,,,0,0,0,,,,,,,0,0,,5,4,5,1
34154001,20190428,0,0,0,10,8,442,20,0,1434,14,4,15,40,8,9,9,9,0,9,2,15,4,1021,9,1018,6,6,9,16,7,310,1642,12,3,300,1626,,,,,16,0,,1642,29,1408,78,2344,564,0,7,2,,46,762,2582,,,92,,,,,0,0,0,,,,,,,0,0,,6,5,5,9
34154001,20190429,0,0,0,5,6,501,21,5,1446,14,6,13,55,3,5,4,0,0,15,9,13,6,1018,6,1016,0,4,6,13,1,30,1111,8,7,20,2056,,,,,12,0,,2050,28,1357,86,505,611,110,7,5,,48,793,2727,,,95,,,,,0,0,0,,,,,,,0,0,,5,1,4,9
34154001,20190430,0,0,0,9,5,401,22,7,1209,16,2,16,10,4,5,6,8,0,13,2,16,1,1016,0,1014,5,4,0,13,6,30,918,9,1,20,927,,,,,12,9,,918,29,1138,64,2358,568,0,8,2,,45,734,2705,,,88,,,,,0,0,0,,,,,,,0,0,,5,9,5,3
