POSTE,DATE,RR,DRR,TN,HTN,TX,HTX,TM,TMNX,TNSOL,TN50,DG,TAMPLI,TNTXM,PMERM,PMERMIN,FFM,FXI,DXI,HXI,FXY,DXY,HXY,FF2M,FXI2,DXI2,HXI2,FXI3S,DXI3S,HXI3S,UN,HUN,UX,HUX,DHUMI40,DHUMI80,TSVM,DHUMEC,UM,INST,GLOT,DIFT,DIRT,SIGMA,INFRART,UV_INDICEX,NB300,BA300,NEIG,BROU,ORAG,GRESIL,GRELE,ROSEE,VERGLAS,SOLNEIGE,GELEE,FUMEE,BRUME,ECLAIR,ETPMON,ETPGRILLE,UV,TMERMAX,TMERMIN,HNEIGEF,NEIGETOTX,NEIGETOT06,,,,,,,,,,,,
34154001,20191001,2,4,141,14,0,559,24,1,1121,19,4,19,5,9,6,11,8,0,10,1,19,1,1011,2,1009,0,2,8,10,1,320,1935,7,3,320,1939,,,,,9,7,,1936,51,1048,92,1831,0,821,17,8,,79,522,1584,,,75,,,,,0,0,1,,,,,,0,0,0,,2,6,2,6
34154001,20191002,0,0,0,14,9,416,26,0,1422,20,2,20,45,11,0,13,0,0,11,1,20,5,1012,3,1010,0,6,3,15,6,320,1626,11,0,320,1439,,,,,14,8,,1439,35,1440,94,12,218,167,13,0,,57,554,1593,,,80,,,,,0,0,0,,,,,,0,0,0,,5,6,5,0
34154001,20191003,0,0,0,12,7,510,26,2,1353,17,5,19,45,8,0,11,0,0,13,5,19,5,1015,7,1013,6,3,3,10,4,20,1126,8,0,340,1,,,,,9,8,,1126,20,1238,76,2359,597,0,8,4,,45,570,1693,,,83,,,,,0,0,0,,,,,,,0,0,,5,5,4,6
34154001,20191004,0,0,0,7,6,328,24,3,1327,17,3,15,95,3,6,6,2,0,16,7,16,0,1015,1,1013,0,3,9,14,1,300,1537,9,7,280,1559,,,,,13,3,,1537,50,805,82,124,0,68,12,2,,62,325,1308,,,47,,,,,0,0,0,,,,,,,0,0,,3,2,3,0
34154001,20191005,0,0,0,15,3,558,24,9,1417,19,7,20,10,11,3,13,5,0,9,6,20,1,1015,1,1013,2,5,5,14,2,290,1255,9,7,320,1538,,,,,13,0,,1255,41,1403,77,2325,0,0,12,2,,54,643,1671,,,94,,,,,0,0,0,,,,,,0,0,0,,5,3,4,6
34154001,20191006,0,0,0,13,2,350,23,9,1430,19,2,18,55,7,4,10,8,0,10,7,18,6,1015,9,1014,6,6,4,18,4,300,2101,13,0,290,2047,,,,,17,2,,2035,41,1408,77,11,0,0,12,5,,57,330,1185,,,48,,,,,0,0,0,,,,,,0,0,0,,4,7,4,0
34154001,20191007,0,0,0,14,6,357,24,0,1413,18,0,19,30,12,6,13,8,0,9,4,19,3,1016,8,1014,9,5,5,15,7,340,1200,10,2,330,1208,,,,,15,1,,1200,30,1321,69,2349,581,0,9,2,,46,607,1602,,,89,,,,,0,0,0,,,,,,,0,0,,6,0,5,3
34154001,20191008,0,0,0,9,4,433,21,5,1127,16,0,15,45,5,2,8,0,0,12,1,15,5,1018,3,1017,0,2,1,6,6,210,1512,4,8,210,1431,,,,,5,9,,1229,39,1132,87,2001,18,323,11,6,,65,622,1580,,,92,,,,,0,0,0,,,,,,,0,0,,2,5,2,5
34154001,20191009,0,0,0,11,1,251,23,9,1501,17,0,17,50,7,9,9,6,0,12,8,17,5,1018,2,1016,4,3,5,12,2,320,1525,8,7,310,1527,,,,,11,7,,1525,42,1502,89,306,0,509,12,9,,68,167,745,,,25,,,,,0,0,0,,,,,,,0,0,,3,1,2,8
34154001,20191010,0,0,0,13,4,554,25,4,1607,18,1,19,40,10,8,12,2,0,12,0,19,4,1021,0,1019,4,4,4,12,5,280,1152,8,2,290,1158,,,,,12,0,,1212,35,1404,75,212,261,0,11,3,,56,625,1578,,,93,,,,,0,0,0,,,,,,0,0,0,,4,8,4,1
34154001,20191011,0,0,59,8,0,535,22,0,1220,16,3,15,0,3,2,5,5,0,14,0,15,0,1021,9,1021,1,2,7,8,6,100,1111,5,7,100,2346,,,,,7,4,,0,42,1214,92,500,0,548,13,5,,73,372,1187,,,56,,,,,0,0,0,,,,,,,0,0,,1,9,2,1
34154001,20191012,0,0,0,17,9,238,19,4,1029,18,5,18,65,17,2,17,2,0,1,5,18,7,1021,1,1020,1,6,6,13,6,130,655,9,3,130,1053,,,,,13,0,,655,83,1828,96,2336,0,1440,19,0,,89,0,302,,,0,,,,,0,0,0,,,,,,0,0,0,,1,4,1,0
34154001,20191013,0,0,0,16,8,506,22,0,1313,19,2,19,40,15,5,16,0,0,5,2,19,4,1020,1,1019,1,6,3,13,1,130,1008,9,4,130,1002,,,,,12,0,,1010,76,1315,95,1,0,1266,19,2,,87,206,936,,,31,,,,,0,0,0,,,,,,0,0,0,,2,2,2,1
34154001,20191014,18,7,137,17,6,248,21,2,1152,19,3,19,40,17,2,17,4,0,3,6,19,4,1015,3,1008,2,7,2,19,9,140,0,13,9,140,2339,,,,,18,4,,0,81,931,95,2354,0,1440,19,5,,87,9,381,,,1,,,,,0,0,1,,,,,,0,0,0,,1,8,1,7
34154001,20191015,0,0,1,15,6,756,20,0,1349,17,1,17,80,12,4,14,3,0,4,4,17,8,1013,9,1007,3,6,6,25,5,140,22,16,3,140,8,,,,,23,7,,22,44,1556,97,29,0,269,12,7,,65,480,1375,,,73,,,,,0,0,1,,,,,,0,0,0,,4,2,3,8
34154001,20191016,0,0,0,8,1,506,20,7,1248,14,8,14,40,5,1,6,9,0,12,6,14,4,1017,5,1015,6,3,2,7,3,140,1435,5,8,140,1418,,,,,6,8,,1410,50,1143,95,526,0,867,13,2,,79,522,1286,,,80,,,,,0,0,0,,,,,,,0,0,,1,7,1,7
34154001,20191017,2,0,33,12,8,213,21,7,1050,18,1,17,25,11,5,12,0,0,8,9,17,3,1016,2,1015,4,6,0,12,4,140,1136,9,5,140,1149,,,,,11,8,,1136,77,1058,95,257,0,1348,18,4,,88,307,1086,,,47,,,,,0,0,0,,,,,,0,0,0,,1,3,1,3
34154001,20191018,0,0,0,18,0,1758,21,8,1049,19,1,19,90,15,3,16,6,0,3,8,19,9,1014,1,1011,5,3,5,9,8,150,46,7,7,140,109,,,,,9,2,,110,75,1339,97,1823,0,1413,20,4,,93,165,878,,,26,,,,,0,0,0,,,,,,0,0,0,,1,8,1,7
34154001,20191019,0,0,0,16,9,2208,22,3,1111,20,0,19,60,15,6,16,1,0,5,4,19,6,1008,5,1006,8,7,5,18,6,130,2357,13,0,140,2024,,,,,16,7,,2332,82,1206,98,315,0,1440,21,5,,92,119,542,,,19,,,,,0,0,0,,,,,,0,0,0,,1,0,0,9
34154001,20191020,0,2,13,19,8,2318,22,1,1448,20,3,20,95,19,2,19,5,0,2,3,21,0,1008,6,1006,6,11,4,22,1,130,920,15,9,130,1040,,,,,20,8,,920,72,2146,95,10,0,1317,21,1,,89,196,811,,,31,,,,,0,0,0,,,,,,0,0,0,,2,6,2,6
34154001,20191021,4,8,261,13,6,332,17,3,1754,16,0,15,45,10,7,12,2,0,3,7,15,5,1018,3,1014,3,2,6,8,9,150,1559,6,3,150,1603,,,,,8,4,,1559,75,1016,97,2354,0,1370,15,8,,87,0,250,,,0,,,,,0,0,0,,,,,,0,0,0,,0,8,0,7
34154001,20191022,45,3,629,14,8,1018,19,8,546,15,9,17,30,14,7,14,7,0,5,0,17,3,1016,2,1010,9,4,8,16,5,310,1202,10,0,310,1205,,,,,15,2,,1210,89,2334,98,27,0,1440,17,2,,95,0,105,,,0,,,,,0,0,1,,,,,,0,0,0,,1,1,0,9
