POSTE,DATE,RR,DRR,TN,HTN,TX,HTX,TM,TMNX,TNSOL,TN50,DG,TAMPLI,TNTXM,PMERM,PMERMIN,FFM,FXI,DXI,HXI,FXY,DXY,HXY,FF2M,FXI2,DXI2,HXI2,FXI3S,DXI3S,HXI3S,UN,HUN,UX,HUX,DHUMI40,DHUMI80,TSVM,DHUMEC,UM,INST,GLOT,DIFT,DIRT,SIGMA,INFRART,UV_INDICEX,NB300,BA300,NEIG,BROU,ORAG,GRESIL,GRELE,ROSEE,VERGLAS,SOLNEIGE,GELEE,FUMEE,BRUME,ECLAIR,ETPMON,ETPGRILLE,UV,TMERMAX,TMERMIN,HNEIGEF,NEIGETOTX,NEIGETOT06,,,,,,,,,,,,
34154001,20190101,0,0,0,2,8,534,14,3,1329,8,0,8,55,0,8,1,0,0,11,5,8,6,1029,1,1027,6,3,4,10,3,10,312,6,8,10,321,,,,,10,0,,313,49,1327,84,540,0,105,7,4,,70,490,777,,,93,,,,,0,0,0,,,,,,,0,0,,1,6,1,4
34154001,20190102,0,0,0,0,6,350,13,9,1316,6,9,7,25,-3,7,-1,8,0,13,3,7,3,1028,1,1026,1,5,5,18,5,350,2351,11,5,360,2340,,,,,17,2,,2351,26,1357,86,48,622,109,4,9,,51,491,803,,,93,,,,,0,0,0,,,,,,,0,0,,2,9,2,4
34154001,20190103,0,0,0,0,2,416,11,4,1251,5,9,5,60,-3,5,-2,3,12,11,6,5,6,1029,8,1028,0,5,1,15,2,350,19,10,1,20,2211,,,,,14,6,,19,24,1411,64,752,921,0,3,5,,39,492,804,,,93,,,,,0,0,0,,,,,,,0,0,,3,0,2,9
34154001,20190104,0,0,0,0,8,534,9,7,1405,5,0,5,25,-5,4,-1,9,0,8,9,5,3,1031,4,1030,0,3,9,14,0,20,1154,10,1,30,1158,,,,,13,1,,1154,38,1322,62,2351,122,0,4,3,,49,435,677,,,82,,,,,0,0,0,,,,,,,0,0,,2,3,2,1
34154001,20190105,0,0,0,0,3,143,13,3,1424,7,2,6,80,-2,5,-1,3,0,13,0,6,8,1028,3,1025,8,5,0,15,9,30,1609,10,9,10,1615,,,,,15,7,,1610,39,1301,71,147,59,0,5,1,,51,494,793,,,93,,,,,0,0,0,,,,,,,0,0,,2,5,2,3
34154001,20190106,0,0,0,1,7,551,12,4,1439,6,4,7,5,-3,0,0,5,0,10,7,7,1,1028,3,1026,6,4,9,13,7,10,1229,9,5,360,1230,,,,,12,7,,1229,37,1444,68,643,126,0,5,1,,54,495,812,,,93,,,,,0,0,0,,,,,,,0,0,,2,6,2,3
34154001,20190107,0,0,0,-1,7,713,10,8,1335,4,5,4,55,-4,0,-3,0,52,12,5,4,6,1030,0,1028,7,3,7,9,7,20,1545,6,7,20,1555,,,,,9,3,,1410,43,1338,75,719,0,0,4,9,,59,496,808,,,93,,,,,0,0,0,,,,,,,0,0,,1,7,1,5
34154001,20190108,0,0,0,-3,1,446,12,1,1106,6,4,4,50,-5,8,-4,6,431,15,2,4,5,1024,7,1019,6,5,6,18,2,310,1342,13,0,310,1358,,,,,17,0,,1410,41,2339,86,458,0,230,5,9,,62,275,626,,,51,,,,,0,0,0,,,,,,,0,0,,1,4,1,3
34154001,20190109,0,0,0,4,9,731,10,8,1126,7,3,7,85,-1,0,3,6,0,5,9,7,9,1017,4,1015,7,6,4,18,8,320,1238,13,0,330,1219,,,,,17,9,,1115,31,1223,60,2249,477,0,4,5,,45,499,842,,,93,,,,,0,0,0,,,,,,,0,0,,3,5,3,0
34154001,20190110,0,0,0,2,1,2258,9,4,1234,5,7,5,75,-3,3,-1,3,0,7,3,5,8,1018,5,1015,2,6,4,19,0,30,1122,12,3,10,1131,,,,,18,2,,1122,35,1124,53,1924,402,0,4,0,,44,500,833,,,93,,,,,0,0,0,,,,,,,0,0,,3,0,2,7
