POSTE,DATE,RR,DRR,TN,HTN,TX,HTX,TM,TMNX,TNSOL,TN50,DG,TAMPLI,TNTXM,PMERM,PMERMIN,FFM,FXI,DXI,HXI,FXY,DXY,HXY,FF2M,FXI2,DXI2,HXI2,FXI3S,DXI3S,HXI3S,UN,HUN,UX,HUX,DHUMI40,DHUMI80,TSVM,DHUMEC,UM,INST,GLOT,DIFT,DIRT,SIGMA,INFRART,UV_INDICEX,NB300,BA300,NEIG,BROU,ORAG,GRESIL,GRELE,ROSEE,VERGLAS,SOLNEIGE,GELEE,FUMEE,BRUME,ECLAIR,ETPMON,ETPGRILLE,UV,TMERMAX,TMERMIN,HNEIGEF,NEIGETOTX,NEIGETOT06,,,,,,,,,,,,
34154001,20190501,0,0,0,7,5,311,21,0,1057,15,3,14,25,4,0,4,2,0,13,5,14,3,1014,4,1013,6,2,9,8,4,190,1405,5,7,190,1356,,,,,8,2,,1410,44,1150,93,0,0,288,11,6,,68,786,2682,,,94,,,,,0,0,0,,,,,,,0,0,,3,7,3,8
34154001,20190502,0,8,53,10,2,231,23,4,1257,17,0,16,80,7,8,7,7,0,13,2,16,8,1014,2,1012,6,5,0,16,0,280,1447,10,3,290,1439,,,,,15,7,,1447,30,1332,99,4,414,508,11,2,,62,484,2313,,,58,,,,,0,0,0,,,,,,,0,0,,5,3,4,8
34154001,20190503,0,0,0,10,3,417,20,1,1528,15,6,15,20,7,6,7,6,0,9,8,15,2,1011,0,1008,6,4,0,10,5,260,1530,7,5,260,1231,,,,,9,5,,1530,41,1408,78,327,0,0,9,9,,56,220,1621,,,26,,,,,0,0,0,,,,,,,0,0,,4,4,4,1
34154001,20190504,0,0,0,12,6,419,21,9,1112,16,0,17,25,9,6,11,3,0,9,3,17,3,1009,3,1007,6,7,4,18,4,300,1641,13,4,310,1655,,,,,17,0,,1648,28,1440,56,347,549,0,7,8,,44,603,2347,,,71,,,,,0,0,0,,,,,,,0,0,,7,3,6,6
34154001,20190505,0,0,0,8,2,2347,16,9,1431,12,2,12,55,5,8,6,7,0,8,7,12,6,1014,3,1011,9,9,5,23,8,330,1133,14,4,340,1141,,,,,22,1,,1133,23,1103,45,2355,1198,0,4,6,,33,770,2808,,,91,,,,,0,0,0,,,,,,,0,0,,7,2,6,6
34154001,20190506,0,0,0,8,3,417,20,3,1509,13,7,14,30,4,0,6,4,0,12,0,14,3,1017,6,1016,0,4,8,13,9,10,758,9,5,360,841,,,,,13,5,,921,25,1327,59,2355,729,0,6,1,,40,813,2861,,,96,,,,,0,0,0,,,,,,,0,0,,6,2,5,9
34154001,20190507,0,2,0,4,7,445,17,9,1346,13,6,11,30,0,2,0,5,0,13,2,11,3,1017,5,1014,9,3,9,10,2,130,2345,8,3,130,2328,,,,,9,9,,2319,34,907,94,1844,71,420,10,4,,66,611,2446,,,72,,,,,0,0,0,,,,,,,0,0,,3,0,3,1
34154001,20190508,8,2,211,13,4,614,14,9,1743,13,9,14,15,13,5,13,4,0,1,5,14,2,1009,3,1005,3,7,0,16,1,130,825,12,0,120,832,,,,,14,7,,825,88,27,100,1504,0,1440,15,2,,96,16,231,,,2,,,,,0,0,0,,,,,,0,0,1,,0,6,0,6
34154001,20190509,0,0,0,8,9,417,22,3,1431,15,9,15,60,6,1,6,5,0,13,4,15,6,1010,7,1008,8,5,0,15,2,280,1417,10,8,270,1426,,,,,14,6,,1417,39,1441,96,46,11,468,11,7,,67,510,2179,,,59,,,,,0,0,0,,,,,,,0,0,,4,3,3,7
34154001,20190510,1,6,23,11,9,452,20,8,1517,17,2,16,35,9,6,9,6,0,8,9,16,4,1013,2,1011,4,3,2,9,1,280,2351,6,5,270,2355,,,,,8,8,,2351,48,1535,83,444,0,30,12,4,,64,537,2300,,,62,,,,,0,0,1,,,,,,,0,0,,4,2,4,3
34154001,20190511,0,0,0,12,7,410,23,6,1322,17,8,18,15,8,8,9,0,0,10,9,18,2,1018,7,1015,3,6,3,19,0,300,1201,13,5,300,1336,,,,,18,2,,1356,30,1340,95,430,322,358,11,2,,57,481,2206,,,56,,,,,0,0,1,,,,,,0,0,0,,6,1,5,7
34154001,20190512,0,0,0,12,6,300,21,6,1135,17,2,17,10,9,2,10,4,0,9,0,17,1,1022,0,1020,3,9,5,21,5,10,917,14,9,10,1353,,,,,20,4,,1349,24,1521,62,120,1005,0,7,1,,37,737,2694,,,85,,,,,0,0,0,,,,,,0,0,0,,8,3,7,4
34154001,20190513,0,0,0,12,6,354,23,9,1351,17,4,18,25,10,3,11,5,0,11,3,18,3,1020,0,1018,3,7,4,17,2,360,100,11,7,350,120,,,,,16,6,,100,30,1155,58,2358,1005,0,7,7,,39,831,2899,,,96,,,,,0,0,0,,,,,,,0,0,,8,2,7,7
34154001,20190514,0,0,0,8,4,426,23,6,1510,16,7,16,0,4,9,4,6,0,15,2,16,0,1016,8,1013,8,4,8,15,5,40,2340,10,8,40,2253,,,,,14,8,,2340,30,2248,74,1931,611,0,8,8,,47,833,2898,,,96,,,,,0,0,0,,,,,,,0,0,,5,9,5,9
34154001,20190515,0,0,0,10,6,152,22,0,1219,15,3,16,30,6,9,8,3,0,11,4,16,3,1013,9,1012,3,5,5,13,7,50,748,9,7,40,754,,,,,13,1,,748,21,1209,65,1911,592,0,7,7,,46,835,2961,,,96,,,,,0,0,0,,,,,,,0,0,,6,8,6,3
34154001,20190516,0,0,0,7,1,433,20,3,1300,14,8,13,70,3,9,3,6,0,13,2,13,7,1011,2,1008,2,3,7,8,4,170,1540,6,4,130,2145,,,,,8,1,,2146,35,1333,89,2339,113,343,10,6,,64,729,2749,,,84,,,,,0,0,0,,,,,,,0,0,,4,1,4,1
34154001,20190517,17,4,545,11,3,1136,15,2,1408,13,5,13,25,11,6,10,6,0,3,9,13,3,1006,6,1005,3,4,1,11,1,140,651,8,4,120,617,,,,,10,6,,923,61,949,95,1218,0,1360,13,7,,89,0,545,,,0,,,,,0,0,0,,,,,,,0,0,,1,1,1,1
