POSTE,DATE,RR,DRR,TN,HTN,TX,HTX,TM,TMNX,TNSOL,TN50,DG,TAMPLI,TNTXM,PMERM,PMERMIN,FFM,FXI,DXI,HXI,FXY,DXY,HXY,FF2M,FXI2,DXI2,HXI2,FXI3S,DXI3S,HXI3S,UN,HUN,UX,HUX,DHUMI40,DHUMI80,TSVM,DHUMEC,UM,INST,GLOT,DIFT,DIRT,SIGMA,INFRART,UV_INDICEX,NB300,BA300,NEIG,BROU,ORAG,GRESIL,GRELE,ROSEE,VERGLAS,SOLNEIGE,GELEE,FUMEE,BRUME,ECLAIR,ETPMON,ETPGRILLE,UV,TMERMAX,TMERMIN,HNEIGEF,NEIGETOTX,NEIGETOT06,,,,,,,,,,,,
34154001,20190801,0,0,0,18,8,2336,31,2,1110,24,3,25,0,13,1,16,9,0,12,4,25,0,1014,0,1011,0,3,6,17,3,40,641,10,5,30,643,,,,,16,7,,641,26,1107,89,2218,499,254,15,3,,52,710,2534,,,82,,,,,0,0,0,,,,,,0,0,0,,7,5,7,2
34154001,20190802,0,0,0,17,8,448,33,0,1325,27,3,25,40,13,6,16,3,0,15,2,25,4,1013,1,1011,4,2,7,6,7,210,1327,4,7,200,1334,,,,,6,4,,1327,28,1336,81,1,772,24,15,1,,44,826,2732,,,96,,,,,0,0,0,,,,,,0,0,0,,7,3,7,4
34154001,20190803,0,0,0,21,5,419,33,7,1044,27,1,27,60,14,6,18,9,0,12,2,27,6,1013,3,1011,6,4,4,11,3,220,1754,8,6,230,1659,,,,,10,9,,1754,22,1022,69,2144,678,0,14,5,,42,823,2769,,,96,,,,,0,0,0,,,,,,0,0,0,,9,0,8,7
34154001,20190804,0,0,0,18,7,435,32,3,1124,26,3,25,50,12,9,16,1,0,13,6,25,5,1013,5,1012,4,3,1,8,4,230,1811,5,8,230,1820,,,,,8,1,,1811,32,1034,84,2318,530,76,16,7,,50,821,2712,,,96,,,,,0,0,0,,,,,,0,0,0,,7,3,7,3
34154001,20190805,0,0,0,19,7,244,27,4,1115,24,0,23,55,16,5,18,8,0,7,7,23,6,1014,5,1013,2,3,0,6,3,160,1228,5,0,160,1228,,,,,6,1,,1223,69,707,94,2259,0,875,24,4,,82,735,2560,,,86,,,,,0,0,0,,,,,,0,0,0,,4,4,4,8
34154001,20190806,0,0,0,20,7,418,27,6,942,24,2,24,15,19,2,19,9,0,6,9,24,2,1013,1,1011,1,3,2,8,6,150,1333,6,6,140,1335,,,,,8,3,,1333,67,1730,94,217,0,566,24,2,,81,533,2206,,,62,,,,,0,0,0,,,,,,0,0,0,,4,5,4,8
34154001,20190807,0,0,0,21,5,141,31,3,1235,26,2,26,40,19,8,20,7,0,9,8,26,4,1010,7,1009,4,3,6,9,8,240,1605,7,7,230,1607,,,,,9,4,,1610,41,1229,82,150,0,78,21,1,,63,436,2125,,,51,,,,,0,0,0,,,,,,0,0,0,,6,6,6,5
34154001,20190808,0,0,0,19,9,454,31,7,1124,26,6,25,80,16,0,18,4,0,11,8,25,8,1011,5,1010,6,3,1,9,7,220,1441,7,0,210,1445,,,,,9,3,,1437,39,1117,90,2334,13,153,20,8,,61,760,2582,,,90,,,,,0,0,0,,,,,,0,0,0,,6,4,6,5
34154001,20190809,0,6,68,22,1,301,29,3,1240,25,7,25,70,19,4,21,5,0,7,2,25,7,1013,3,1012,1,5,0,10,2,140,1101,8,3,140,1103,,,,,10,1,,1110,70,817,95,1900,0,1150,28,8,,87,443,2153,,,52,,,,,0,0,0,,,,,,0,0,0,,4,3,4,3
34154001,20190810,0,0,0,23,2,412,32,4,1340,27,9,27,80,22,0,22,3,0,9,2,27,8,1015,5,1014,2,3,9,9,3,230,1810,6,8,210,1455,,,,,9,0,,1752,40,1935,97,112,29,434,23,6,,64,685,2515,,,81,,,,,0,0,0,,,,,,0,0,0,,7,1,6,9
34154001,20190811,0,0,0,21,3,308,29,7,857,25,7,25,50,17,1,19,3,0,8,4,25,5,1013,8,1012,1,3,8,10,3,30,2142,7,6,160,1424,,,,,9,6,,2141,44,824,80,1057,0,2,21,7,,65,693,2432,,,82,,,,,0,0,0,,,,,,0,0,0,,6,1,6,3
34154001,20190812,0,0,0,21,4,441,32,2,1439,25,4,26,80,20,3,20,9,0,10,8,26,8,1015,7,1013,3,5,2,16,3,320,1717,11,5,300,1645,,,,,15,3,,1717,25,1441,72,441,476,0,14,3,,46,580,2342,,,69,,,,,0,0,0,,,,,,0,0,0,,9,0,8,7
34154001,20190813,0,0,0,18,2,432,30,4,1347,23,8,24,30,15,6,16,9,0,12,2,24,3,1017,5,1014,3,5,0,14,1,290,1822,10,2,300,1743,,,,,13,3,,1822,20,1405,58,410,824,0,11,1,,39,671,2514,,,80,,,,,0,0,0,,,,,,0,0,0,,9,0,8,3
34154001,20190814,0,0,0,17,2,322,31,4,1738,24,6,24,30,14,1,15,8,0,14,2,24,3,1016,6,1013,9,4,2,12,1,290,1748,8,5,300,1752,,,,,11,9,,1748,21,1058,54,323,837,0,11,7,,39,742,2513,,,89,,,,,0,0,0,,,,,,0,0,0,,8,2,7,4
34154001,20190815,0,0,0,17,8,435,31,5,1342,25,5,24,65,13,3,16,0,0,13,7,24,7,1017,4,1016,3,6,3,16,8,290,1358,11,4,310,1438,,,,,14,6,,1358,28,1249,63,454,592,0,13,9,,43,767,2571,,,92,,,,,0,0,0,,,,,,0,0,0,,8,8,7,9
34154001,20190816,0,0,0,18,6,522,28,8,1005,23,3,23,70,12,4,16,2,0,10,2,23,7,1016,9,1014,9,4,0,10,0,240,1748,7,3,210,1236,,,,,9,5,,1720,30,931,86,2352,310,62,15,1,,54,738,2575,,,89,,,,,0,0,0,,,,,,0,0,0,,7,1,6,7
34154001,20190817,0,0,0,16,3,239,25,4,1347,21,5,20,85,12,1,14,7,0,9,1,20,9,1015,9,1014,7,2,5,7,1,160,1616,5,1,160,1617,,,,,6,7,,1616,74,1016,99,2058,0,1123,22,7,,88,397,1996,,,48,,,,,0,1,0,,,,,,0,0,1,,3,0,3,6
