POSTE,DATE,RR,DRR,TN,HTN,TX,HTX,TM,TMNX,TNSOL,TN50,DG,TAMPLI,TNTXM,PMERM,PMERMIN,FFM,FXI,DXI,HXI,FXY,DXY,HXY,FF2M,FXI2,DXI2,HXI2,FXI3S,DXI3S,HXI3S,UN,HUN,UX,HUX,DHUMI40,DHUMI80,TSVM,DHUMEC,UM,INST,GLOT,DIFT,DIRT,SIGMA,INFRART,UV_INDICEX,NB300,BA300,NEIG,BROU,ORAG,GRESIL,GRELE,ROSEE,VERGLAS,SOLNEIGE,GELEE,FUMEE,BRUME,ECLAIR,ETPMON,ETPGRILLE,UV,TMERMAX,TMERMIN,HNEIGEF,NEIGETOTX,NEIGETOT06,,,,,,,,,,,,
34154001,20190701,0,0,0,22,8,344,30,2,1351,26,5,26,50,20,5,21,9,0,7,4,26,5,1016,8,1014,4,2,3,6,3,200,1734,4,5,210,1756,,,,,6,1,,1734,46,1413,95,351,0,686,25,8,,76,789,2836,,,87,,,,,0,0,0,,,,,,0,0,0,,6,0,6,2
34154001,20190702,0,0,0,20,7,404,33,4,1531,28,0,27,5,16,7,19,1,0,12,7,27,1,1014,6,1012,2,3,2,8,2,140,1903,6,7,140,1911,,,,,8,0,,1910,38,959,95,415,25,390,22,6,,62,724,2705,,,79,,,,,0,0,0,,,,,,0,0,0,,7,1,7,2
34154001,20190703,0,4,62,22,6,425,32,8,1109,27,1,27,70,20,1,21,6,0,10,2,27,7,1014,2,1012,4,4,0,14,7,110,1916,10,5,340,2100,,,,,14,1,,2054,37,1032,85,2130,55,125,21,1,,60,699,2727,,,77,,,,,0,0,1,,,,,,0,0,0,,8,1,8,1
34154001,20190704,0,2,0,20,6,344,33,1,1104,26,7,26,85,17,5,19,1,0,12,5,26,9,1016,1,1014,8,3,3,9,6,160,1330,6,7,170,1344,,,,,9,4,,1330,38,1105,94,2357,8,481,23,1,,68,830,2870,,,91,,,,,0,0,0,,,,,,0,0,0,,7,0,7,0
34154001,20190705,0,0,0,20,8,341,31,3,1245,26,2,26,5,18,1,19,6,0,10,5,26,1,1015,9,1014,1,2,6,9,1,210,1454,6,4,210,1525,,,,,8,5,,1454,46,1130,97,415,0,590,25,2,,76,808,2852,,,89,,,,,0,0,0,,,,,,0,0,1,,6,0,6,4
34154001,20190706,0,2,5,20,8,412,29,6,1017,25,7,25,20,17,2,20,1,0,8,8,25,2,1012,5,1010,9,3,3,10,0,150,1315,7,8,160,1316,,,,,9,9,,1315,66,931,95,241,0,774,27,0,,82,777,2796,,,86,,,,,0,0,0,,,,,,0,0,0,,5,2,5,5
34154001,20190707,0,0,0,23,5,225,36,1,1709,29,0,29,80,21,5,22,9,0,12,6,29,8,1011,1,1008,7,2,7,8,4,210,1624,5,9,200,1631,,,,,8,1,,1624,35,1701,93,11,16,361,24,8,,63,725,2716,,,80,,,,,0,0,1,,,,,,0,0,0,,7,9,8,0
34154001,20190708,0,0,1,22,7,430,34,5,1125,27,9,28,60,19,5,21,2,0,11,8,28,6,1011,6,1009,8,2,9,11,2,220,1648,7,8,210,1654,,,,,10,8,,1648,36,941,79,2231,152,0,21,2,,58,409,2110,,,45,,,,,0,0,0,,,,,,0,0,0,,7,4,7,2
34154001,20190709,4,2,252,21,5,818,25,8,1204,23,6,23,65,19,8,19,6,0,4,3,23,7,1011,4,1010,2,3,2,10,4,330,725,7,8,330,727,,,,,10,0,,725,60,1245,90,1857,0,322,21,0,,73,58,748,,,6,,,,,0,0,1,,,,,,0,0,0,,3,4,3,1
34154001,20190710,0,0,0,19,7,418,33,4,1233,27,2,26,55,14,8,18,0,0,13,7,26,6,1012,3,1010,7,3,1,10,5,20,1006,6,2,20,1008,,,,,10,0,,1010,21,1225,80,120,984,13,13,8,,41,865,3004,,,96,,,,,0,0,0,,,,,,0,0,0,,8,8,8,4
34154001,20190711,0,0,0,16,5,420,33,9,1810,25,9,25,20,12,8,14,9,0,17,4,25,2,1012,9,1010,9,3,2,11,4,340,1822,8,5,320,1825,,,,,10,8,,1822,29,1824,72,408,336,0,16,1,,49,849,2946,,,94,,,,,0,0,0,,,,,,0,0,0,,7,7,7,3
34154001,20190712,0,0,0,19,6,240,36,7,1358,29,5,28,15,15,3,18,0,0,17,1,28,2,1013,3,1011,3,4,3,15,0,280,1501,9,8,300,1736,,,,,14,4,,1510,25,1050,69,505,804,0,16,2,,41,740,2817,,,82,,,,,0,0,0,,,,,,0,0,0,,9,0,8,9
34154001,20190713,0,0,0,21,6,413,32,8,1140,27,9,27,20,17,9,20,2,0,11,2,27,2,1013,2,1011,0,3,4,10,2,350,949,6,4,20,756,,,,,9,7,,949,28,1848,65,416,891,0,15,7,,42,861,2958,,,96,,,,,0,0,0,,,,,,0,0,0,,8,8,8,8
34154001,20190714,0,0,0,19,9,353,33,5,1305,27,1,26,70,16,7,18,5,0,13,6,26,7,1009,8,1007,4,5,1,12,8,10,650,9,1,10,654,,,,,12,4,,650,21,1125,56,1931,1008,0,12,3,,35,839,2935,,,93,,,,,0,0,0,,,,,,0,0,0,,9,0,9,0
34154001,20190715,0,0,0,19,0,353,32,0,1423,25,8,25,50,16,0,17,3,0,13,0,25,5,1010,9,1008,8,6,1,17,2,30,1109,11,9,10,1253,,,,,16,1,,1110,26,1343,54,227,1003,0,11,9,,37,843,2935,,,94,,,,,0,0,0,,,,,,0,0,0,,9,0,9,0
34154001,20190716,0,0,0,19,5,430,30,5,1250,25,3,25,0,16,1,18,2,0,11,0,25,0,1014,3,1013,5,4,1,10,5,230,1715,7,5,220,1734,,,,,10,2,,1715,32,957,73,2349,445,0,15,2,,48,776,2832,,,87,,,,,0,0,0,,,,,,0,0,0,,8,2,7,6
34154001,20190717,0,0,0,17,5,435,34,0,1712,27,0,25,75,12,7,15,6,0,16,5,25,8,1012,2,1009,7,4,0,11,0,160,1520,8,2,170,1524,,,,,10,5,,1520,20,1735,77,437,707,0,14,9,,44,742,2767,,,83,,,,,0,0,0,,,,,,0,0,0,,8,5,7,8
34154001,20190718,0,0,0,24,0,443,33,8,1451,28,4,28,90,22,1,23,5,0,9,8,28,9,1012,8,1011,2,5,3,13,1,290,914,8,3,300,802,,,,,12,4,,914,21,1523,47,440,1102,0,12,8,,34,804,2678,,,90,,,,,0,0,0,,,,,,0,0,0,,9,0,9,0
34154001,20190719,0,0,0,20,0,312,30,5,1149,25,2,25,25,14,0,17,5,0,10,5,25,3,1015,5,1014,5,3,5,9,8,220,1407,7,3,210,1410,,,,,9,5,,1410,33,903,85,2312,376,85,15,9,,51,852,2891,,,96,,,,,0,0,0,,,,,,0,0,0,,7,8,7,5
34154001,20190720,0,0,15,18,3,356,27,1,1405,23,2,22,70,14,6,17,3,0,8,8,22,7,1018,0,1015,6,2,8,10,7,140,1050,8,3,130,1054,,,,,9,9,,1050,66,1626,95,205,0,918,23,6,,83,607,2148,,,68,,,,,0,0,0,,,,,,0,0,0,,3,7,4,1
34154001,20190721,0,0,0,20,3,120,30,4,1141,25,3,25,35,17,3,19,2,0,10,1,25,4,1020,4,1019,4,3,0,8,8,210,1804,6,8,220,1810,,,,,8,6,,1810,47,1203,99,240,0,697,23,9,,76,741,2655,,,84,,,,,0,0,0,,,,,,0,0,0,,5,7,6,0
34154001,20190722,0,0,0,21,9,445,30,8,953,25,9,26,35,19,6,21,4,0,8,9,26,4,1020,4,1019,2,2,8,8,1,210,1341,6,1,210,1404,,,,,7,6,,1330,55,954,97,327,0,802,26,8,,81,824,2618,,,93,,,,,0,0,0,,,,,,0,0,0,,5,4,6,0
34154001,20190723,0,0,0,21,8,402,31,3,1335,26,6,26,55,18,7,20,6,0,9,5,26,6,1018,2,1016,6,2,5,6,2,200,1436,4,4,200,1219,,,,,5,7,,1216,39,1359,97,146,16,501,24,0,,71,830,2655,,,94,,,,,0,0,0,,,,,,0,0,0,,6,0,6,2
34154001,20190724,0,2,0,20,0,416,32,4,1117,26,8,26,20,16,7,18,8,0,12,4,26,2,1016,1,1014,6,2,7,7,4,210,1334,5,6,210,1338,,,,,7,3,,1334,36,925,93,2359,51,367,22,7,,66,844,2747,,,96,,,,,0,0,0,,,,,,0,0,0,,6,3,6,5
34154001,20190725,0,0,0,20,8,315,29,6,1349,25,8,25,20,17,7,19,6,0,8,8,25,2,1015,1,1013,8,2,5,7,3,160,1142,5,7,160,1145,,,,,7,2,,1142,68,1133,95,211,0,793,27,2,,83,824,2749,,,94,,,,,0,0,0,,,,,,0,0,0,,4,9,5,4
34154001,20190726,0,0,7,21,6,431,30,4,1227,25,9,26,0,20,1,21,2,0,8,8,26,0,1010,7,1007,6,3,0,11,2,280,1632,8,2,280,1639,,,,,10,8,,1632,52,1946,95,139,0,376,24,3,,73,628,2480,,,72,,,,,0,0,1,,,,,,0,0,0,,5,8,5,8
34154001,20190727,0,6,132,21,4,426,27,9,1004,23,4,24,65,19,7,19,6,0,6,5,24,7,1004,2,1001,8,4,2,15,3,290,2235,10,3,300,2331,,,,,14,6,,2236,49,1007,85,1409,0,240,19,5,,68,0,770,,,0,,,,,0,0,1,,,,,,0,0,0,,4,8,4,3
34154001,20190728,0,0,0,20,2,237,30,4,1403,24,8,25,30,17,3,18,5,0,10,2,25,3,1007,0,1003,4,8,2,17,2,310,1150,11,0,320,1117,,,,,15,9,,1150,27,1457,67,225,742,0,13,0,,43,742,2687,,,85,,,,,0,0,0,,,,,,0,0,0,,9,0,9,0
