POSTE,DATE,RR,DRR,TN,HTN,TX,HTX,TM,TMNX,TNSOL,TN50,DG,TAMPLI,TNTXM,PMERM,PMERMIN,FFM,FXI,DXI,HXI,FXY,DXY,HXY,FF2M,FXI2,DXI2,HXI2,FXI3S,DXI3S,HXI3S,UN,HUN,UX,HUX,DHUMI40,DHUMI80,TSVM,DHUMEC,UM,INST,GLOT,DIFT,DIRT,SIGMA,INFRART,UV_INDICEX,NB300,BA300,NEIG,BROU,ORAG,GRESIL,GRELE,ROSEE,VERGLAS,SOLNEIGE,GELEE,FUMEE,BRUME,ECLAIR,ETPMON,ETPGRILLE,UV,TMERMAX,TMERMIN,HNEIGEF,NEIGETOTX,NEIGETOT06,,,,,,,,,,,,
34154001,20190201,1,2,103,6,5,2045,11,4,1415,8,5,8,95,5,7,5,9,0,4,9,9,0,989,4,986,6,3,2,8,6,10,451,6,4,20,410,,,,,8,3,,510,85,1436,96,254,0,1440,10,2,,92,22,290,,,4,,,,,0,0,0,,,,,,,0,0,,0,7,0,5
34154001,20190202,11,7,470,4,4,1216,7,8,1033,6,9,6,10,4,5,4,4,0,3,4,6,1,996,1,988,5,5,7,16,2,350,1619,9,9,350,1146,,,,,14,7,,1651,59,2351,92,9,0,757,7,7,,77,0,77,,,0,,,,,0,0,0,,,,,,,0,0,,1,0,0,9
34154001,20190203,0,0,0,5,9,709,10,1,1422,7,1,8,0,4,5,5,2,0,4,2,8,0,1015,0,1006,6,9,0,21,7,340,1432,14,5,340,1437,,,,,20,4,,1432,38,1517,61,1,215,0,4,6,,46,76,564,,,13,,,,,0,0,0,,,,,,,0,0,,4,1,3,6
34154001,20190204,0,0,103,0,6,605,12,3,1356,6,0,5,85,-6,0,-3,3,14,12,9,5,9,1025,6,1023,5,2,8,9,7,300,138,6,6,300,138,,,,,9,4,,138,29,1333,72,2338,330,0,4,7,,51,464,1087,,,79,,,,,0,0,0,,,,,,,0,0,,2,0,1,7
34154001,20190205,0,0,0,1,9,643,15,3,1351,7,2,8,60,-1,0,0,2,0,13,4,8,6,1025,2,1023,5,1,7,5,7,90,1736,4,4,230,1412,,,,,5,6,,1736,40,1056,87,308,11,359,6,8,,69,558,1116,,,94,,,,,0,0,0,,,,,,,0,0,,1,5,1,4
34154001,20190206,0,0,0,0,7,231,17,3,1353,6,3,8,30,-5,5,-3,3,40,18,0,8,3,1023,7,1021,5,1,8,4,2,70,1814,3,5,70,1901,,,,,4,1,,1814,35,1352,87,1745,27,471,6,8,,71,560,1170,,,94,,,,,0,0,0,,,,,,,0,0,,1,5,1,4
34154001,20190207,0,0,0,0,2,533,16,5,1518,7,7,8,35,-3,3,-1,9,0,16,3,8,4,1021,5,1019,5,2,7,13,2,310,1439,9,2,300,1459,,,,,12,8,,1439,47,1446,86,634,0,323,7,0,,68,290,817,,,49,,,,,0,0,0,,,,,,,0,0,,1,7,1,6
34154001,20190208,0,0,0,1,3,420,14,3,1126,7,4,7,80,-2,1,0,5,0,13,0,7,8,1021,2,1019,2,2,4,8,0,320,19,5,9,300,23,,,,,7,5,,19,41,1108,90,2113,0,477,7,1,,70,405,980,,,68,,,,,0,0,0,,,,,,,0,0,,1,5,1,4
34154001,20190209,0,0,0,1,7,525,14,5,1525,7,7,8,10,-1,2,0,2,0,12,8,8,1,1021,0,1018,8,2,3,6,1,160,1637,4,8,160,1643,,,,,6,0,,1637,65,1528,95,2243,0,1038,9,0,,85,488,1021,,,81,,,,,0,1,0,,,,,,,0,1,,0,7,0,8
34154001,20190210,0,0,1,6,2,2030,15,1,1433,10,7,10,65,2,5,4,3,0,8,9,10,7,1016,1,1012,5,5,3,17,3,320,1703,12,3,320,1704,,,,,16,8,,1710,48,1906,95,1,0,745,9,5,,75,86,424,,,14,,,,,0,0,0,,,,,,,0,1,,1,8,1,5
