POSTE,DATE,RR,DRR,TN,HTN,TX,HTX,TM,TMNX,TNSOL,TN50,DG,TAMPLI,TNTXM,PMERM,PMERMIN,FFM,FXI,DXI,HXI,FXY,DXY,HXY,FF2M,FXI2,DXI2,HXI2,FXI3S,DXI3S,HXI3S,UN,HUN,UX,HUX,DHUMI40,DHUMI80,TSVM,DHUMEC,UM,INST,GLOT,DIFT,DIRT,SIGMA,INFRART,UV_INDICEX,NB300,BA300,NEIG,BROU,ORAG,GRESIL,GRELE,ROSEE,VERGLAS,SOLNEIGE,GELEE,FUMEE,BRUME,ECLAIR,ETPMON,ETPGRILLE,UV,TMERMAX,TMERMIN,HNEIGEF,NEIGETOTX,NEIGETOT06,,,,,,,,,,,,
34154001,20190601,0,0,0,12,8,125,22,8,1204,17,9,17,80,10,8,10,8,0,10,0,17,8,1021,7,1020,1,2,7,6,6,160,1347,5,1,160,1353,,,,,6,4,,1347,54,1205,100,302,0,955,17,4,,86,779,2899,,,86,,,,,0,1,0,,,,,,0,0,1,,3,9,4,3
34154001,20190602,0,2,0,13,6,122,21,6,954,17,8,17,60,11,3,11,3,0,8,0,17,6,1019,0,1017,6,3,2,7,2,160,1114,5,8,160,1115,,,,,6,9,,1114,70,1045,100,216,0,1099,17,9,,88,678,2861,,,75,,,,,0,1,0,,,,,,0,0,1,,3,7,4,5
34154001,20190603,0,0,0,13,6,341,24,3,1006,18,0,18,95,12,9,12,3,0,10,7,19,0,1016,6,1014,8,3,8,9,0,150,1159,7,0,150,1201,,,,,8,6,,1159,57,954,96,1,0,1054,17,3,,84,613,2417,,,68,,,,,0,0,0,,,,,,0,0,0,,4,0,4,3
34154001,20190604,0,0,0,15,1,348,22,3,1550,19,8,18,70,14,1,14,0,0,7,2,18,7,1012,8,1011,1,6,6,11,2,130,1921,8,9,120,1834,,,,,10,8,,1921,63,1915,94,1,0,404,17,1,,75,752,2760,,,83,,,,,0,0,0,,,,,,0,0,0,,4,4,4,9
34154001,20190605,0,0,0,14,2,424,22,6,1005,19,0,18,40,12,4,13,4,0,8,4,18,4,1009,3,1007,0,6,4,16,8,320,1701,12,3,310,1650,,,,,15,9,,1649,48,1824,87,320,0,293,14,7,,66,571,2442,,,63,,,,,0,0,0,,,,,,0,0,0,,5,0,5,2
34154001,20190606,0,0,0,12,8,347,21,9,1126,18,0,17,35,9,4,11,1,0,9,1,17,4,1013,8,1011,8,4,5,10,1,160,2245,7,6,160,2251,,,,,9,7,,2310,40,824,83,2122,9,104,11,8,,57,848,3036,,,94,,,,,0,0,0,,,,,,0,0,0,,5,7,5,5
34154001,20190607,0,6,47,15,7,1618,21,6,1359,17,7,18,65,14,3,13,9,0,5,9,18,7,1015,8,1012,2,5,5,14,8,130,927,11,0,140,910,,,,,13,9,,846,67,1545,92,2359,0,1047,16,6,,82,521,2226,,,57,,,,,0,0,0,,,,,,0,0,0,,4,1,4,0
34154001,20190608,0,2,15,11,6,328,27,0,1233,20,3,19,30,8,5,9,9,0,15,4,19,3,1022,2,1020,2,3,4,11,4,230,1545,8,5,230,1627,,,,,10,9,,1618,21,1157,92,1,705,38,10,1,,45,853,3090,,,94,,,,,0,0,,,,,,,,0,0,,6,8,6,5
34154001,20190609,1,2,158,16,3,450,26,8,1206,21,3,21,55,13,5,13,0,0,10,5,21,6,1016,2,1012,4,3,8,10,6,130,1753,7,1,20,929,,,,,10,4,,1753,36,1305,82,2137,179,51,14,3,,57,115,1423,,,13,,,,,0,0,1,,,,,,0,0,0,,5,6,5,3
34154001,20190610,0,0,41,18,1,401,27,3,1500,21,2,22,70,16,7,17,1,0,9,2,22,7,1012,1,1009,9,5,0,12,7,310,1755,9,5,290,1703,,,,,12,0,,1700,36,1551,90,57,130,253,15,0,,61,392,2124,,,43,,,,,0,0,0,,,,,,0,0,0,,6,9,6,2
34154001,20190611,0,2,175,14,8,319,19,3,1339,16,9,17,5,12,9,13,8,0,4,5,17,1,1011,9,1010,6,3,3,8,5,240,1539,6,5,240,1556,,,,,8,2,,1539,53,655,82,1556,0,14,12,3,,64,7,964,,,1,,,,,0,0,0,,,,,,0,0,0,,3,7,3,3
34154001,20190612,0,0,0,12,0,401,21,5,1256,17,2,16,75,9,6,11,1,0,9,5,16,8,1014,2,1012,8,4,6,12,5,210,1214,8,9,210,1219,,,,,11,8,,1229,43,851,86,2346,0,112,12,1,,62,861,3035,,,94,,,,,0,0,0,,,,,,,0,0,,5,3,5,2
34154001,20190613,0,2,18,9,7,404,22,1,1115,17,2,15,90,4,1,7,2,0,12,4,15,9,1015,2,1014,2,2,7,6,9,160,1145,5,5,170,1154,,,,,6,7,,1145,50,910,94,133,0,369,14,2,,73,636,2733,,,70,,,,,0,0,0,,,,,,,0,0,,3,9,4,4
34154001,20190614,0,4,21,14,4,110,28,0,1414,20,3,21,20,12,2,13,2,0,13,6,21,2,1011,0,1005,0,3,6,13,9,30,1243,10,2,40,1250,,,,,13,4,,1243,40,1353,98,2018,1,400,16,8,,71,171,1414,,,19,,,,,0,0,1,,,,,,0,0,1,,4,5,4,2
34154001,20190615,0,0,0,18,5,635,27,3,1612,21,3,22,90,18,6,18,5,0,8,8,22,9,1016,4,1013,3,2,7,9,7,270,1635,7,7,270,1637,,,,,9,4,,1634,42,1617,99,29,0,710,18,6,,75,309,1529,,,34,,,,,0,0,0,,,,,,0,0,1,,4,5,4,2
34154001,20190616,0,0,0,14,4,236,27,9,1453,22,1,21,15,8,1,11,6,0,13,5,21,2,1017,6,1015,3,4,2,12,0,10,737,8,0,10,810,,,,,11,4,,737,32,1135,84,2111,559,42,13,5,,53,875,3049,,,96,,,,,0,0,0,,,,,,0,0,0,,6,9,6,8
34154001,20190617,0,0,0,14,0,332,28,2,1149,22,1,21,10,8,7,11,9,0,14,2,21,1,1015,5,1014,2,3,1,8,0,220,1617,6,3,210,1623,,,,,7,8,,1617,39,1110,91,2336,58,150,15,5,,60,875,3066,,,96,,,,,0,0,0,,,,,,0,0,0,,6,1,6,3
34154001,20190618,0,0,0,14,1,252,26,7,1004,20,7,20,40,8,8,12,0,0,12,6,20,4,1014,6,1013,0,3,5,8,6,140,1327,6,7,140,1328,,,,,8,3,,1327,50,1005,94,124,0,407,17,6,,73,788,2931,,,86,,,,,0,0,0,,,,,,0,0,0,,5,2,5,4
34154001,20190619,3,2,34,15,6,335,23,2,813,20,0,19,40,12,8,14,1,0,7,6,19,4,1013,4,1012,4,3,3,9,0,130,843,6,4,130,851,,,,,8,7,,843,63,611,95,2321,0,661,18,6,,80,761,2723,,,83,,,,,0,0,0,,,,,,0,0,0,,4,1,4,4
34154001,20190620,0,4,100,16,7,207,30,0,1545,22,7,23,35,13,8,15,5,0,13,3,23,4,1013,8,1011,7,3,2,10,3,240,1801,6,9,230,1817,,,,,10,1,,1810,38,1550,96,214,7,609,19,9,,74,429,2038,,,47,,,,,0,0,1,,,,,,0,0,0,,5,1,5,1
34154001,20190621,0,8,56,17,7,213,27,5,1023,22,4,22,60,14,8,16,3,0,9,8,22,6,1014,6,1013,4,3,7,11,2,330,1945,8,2,320,1947,,,,,11,0,,1945,51,1011,92,218,0,394,19,1,,71,353,1710,,,39,,,,,0,0,0,,,,,,0,0,0,,4,7,4,6
34154001,20190622,0,0,0,18,0,446,27,8,1503,23,4,22,90,16,2,17,4,0,9,8,22,9,1014,5,1012,8,4,0,10,8,220,1347,8,1,230,1348,,,,,10,7,,1347,41,1131,80,2038,0,10,16,1,,57,776,2923,,,85,,,,,0,0,0,,,,,,0,0,0,,7,0,6,8
34154001,20190623,0,2,0,16,5,257,27,0,919,21,7,21,75,12,3,15,0,0,10,5,21,8,1015,3,1014,1,2,5,6,4,190,1602,4,4,190,1610,,,,,6,2,,1610,54,921,96,2348,0,680,19,7,,76,743,2699,,,81,,,,,0,0,0,,,,,,0,0,0,,4,9,5,2
34154001,20190624,0,0,0,16,7,419,28,2,1015,22,6,22,45,12,8,15,2,0,11,5,22,5,1017,4,1016,6,2,6,7,2,170,1418,5,3,170,1447,,,,,7,0,,1418,52,931,98,317,0,420,19,7,,73,707,2757,,,77,,,,,0,0,0,,,,,,0,0,0,,5,4,5,6
34154001,20190625,0,0,0,16,5,408,31,0,937,24,0,23,75,12,1,14,9,0,14,5,23,8,1019,8,1018,2,3,1,9,4,140,1045,7,4,140,1051,,,,,9,0,,1047,39,916,94,2227,8,433,20,8,,71,838,2819,,,92,,,,,0,0,0,,,,,,0,0,0,,5,8,5,9
34154001,20190626,0,0,0,18,8,354,33,5,1231,26,7,26,15,14,8,17,2,0,14,7,26,2,1021,4,1020,3,2,2,6,1,180,1334,3,9,160,1247,,,,,5,9,,1334,39,902,93,1,24,572,21,7,,65,867,2869,,,95,,,,,0,0,0,,,,,,0,0,0,,6,5,6,7
34154001,20190627,0,0,0,19,8,352,35,0,1236,28,5,27,40,16,7,18,0,0,15,2,27,4,1019,1,1016,9,2,8,8,2,220,1658,6,0,210,1658,,,,,7,9,,1658,34,1217,78,1,402,0,20,0,,53,875,2883,,,96,,,,,0,0,0,,,,,,0,0,0,,7,7,7,7
34154001,20190628,0,0,0,21,3,312,43,5,1655,32,9,32,40,16,8,19,5,0,22,2,32,4,1013,5,1011,0,2,5,7,4,210,1353,5,6,240,1332,,,,,7,1,,1353,16,1648,75,457,769,0,19,8,,42,776,2837,,,85,,,,,0,0,0,,,,,,0,0,0,,9,0,9,0
34154001,20190629,0,0,0,21,8,342,34,9,912,28,6,28,35,15,7,18,9,0,13,1,28,4,1015,1,1013,0,2,6,7,7,20,649,5,4,30,656,,,,,7,5,,650,36,13,78,2236,179,0,21,7,,56,874,2889,,,96,,,,,0,0,0,,,,,,0,0,0,,7,7,7,8
34154001,20190630,0,0,0,21,6,310,34,2,1154,28,6,27,90,18,3,20,4,0,12,6,27,9,1017,7,1016,5,2,3,6,2,120,2037,5,1,120,2050,,,,,6,0,,2021,34,1244,89,2300,256,181,22,3,,59,874,2885,,,96,,,,,0,0,0,,,,,,0,0,0,,7,3,7,3
